,content
207,This is awesome game for single person who wants to time pass i play it in the train now because there is no network
208,What the hell is wrong with level 3025?
209,This Game is outstanding & Wicked
210,Golf clap
211,Amazing game
212,I used to love this game but it's changed. Now it's filled with levels that seemingly cannot be passed without in app purchases.
213,Efghd
214,Decent game makes me wanna eat candy
215,Fun
216,Full excitement 😆
217,Good game
218,Fun logic
219,It's good
220,Superb
221,Nice app
222,"Used to love playing. Now it takes so many ads to get boosters. The ads are costing me lives! The ad is a Grey screen that just stays there. You have to get out of the game to get rid of it. If this is a glitch, it's the worst one ever. 7/3/23 update. Really starting to not like this game. Used to enjoy it until everything became a competition. Not as relaxing as it was. How about an option to not compete ?"
223,Msdhoni
224,Fi
225,Awsome
226,Please do not make the higher levels hard to win a couple of games I played 85
227,I like it very much. This is very useful to relieve your stress.
228,Wsom
229,Fun
230,Dhoni bhai ka kamal ha wo rating..🔱
231,Nice
232,Nice
233,"Every time stuck on a level, need just 1 stupid jelly but cannot connect to store or xtra turns. BOOOO!"
234,Fun Fantastic game
235,Faingam
236,Awesome Creation
237,Excellent
238,Great to kill time game and gets pretty mind boggling
239,♥️♥️
240,Very good
241,Fun
242,Love this game
243,Really super awesome game to play
244,Fun time filler!
245,Awesome and just superb game!!
246,This game is still very addicting.
247,Great game
248,Mst
249,Good
250,Nice
251,Love it
252,Moves right along not always easy...but still fun!
253,Good
254,Too many hard levels with very little moves thats cheating
255,It suck
256,Very entertaining
257,# boycott Sweden apps ..😡😡😡💯💯💯
258,It's 2023 and I still love this game.
259,Love it
260,0uu6uu to 991 U 777Y Uh Uplift what it doing j Lk7 I i5u0 600.00 0p usually 9 Io5oo78 I 7079o C Y7 jq m87 777777Y yp8omj
261,Real fun
262,"There is a option that pops out which says to challenge 100 people but I don't want to accept that. And there is no 'cross or denial' sign for that. A denial sign used to be on the top right hand corner of that challenge notification before but after the update, its missing."
263,Love this game
264,Fun
265,Good
266,Q qqw we
267,I love this game it's so fun
268,Enjoying every level
269,Ok 🆗👌 so nais
270,Awesome
271,My fav game
272,Good
273,Sensational
274,"Cash grab galore, not fun."
275,So addictive 😍
276,Great way to pass the time.
277,Awesome 😎
278,Wow
279,It was a good g
280,Fun
281,"Great way to relax at the end of the day. Challenging, yet fun"
282,Fantastic
283,finding it harder. less rewards available
284,Very bad
285,"Candy royale needs to go. If that was gone, 5 stars."
286,Good
287,Fun fun fun
288,Good
289,amazing
290,Good Game
291,It seams there balls to get after playing candy crush saga and getting over 2 hundred points for golf clash balls
292,Yummy
293,Fun 😊
294,Nice game
295,I tried to stick with the game but it just sucks it is NOT a casual game to play it can take more then a day or two just to pass one level it is very frustrating I absolutel do not recommend this game to anyone the developers really need to think about trying to keep people interested in playing other than trying to make people spend money it should be about trying to keep loyal fans playing and it's not so I say again do not waste your time on this game it is no longer worth playing
296,Nice game!. But some levels needs goal to win
297,"Recently I can't access the app, it's not responding"
298,Wa122hynip
299,BEST GAME EVER
300,Great
301,Good
302,I love playing this game
303,"It is an AMAZInG app it helps me to not stress and reliefs it after I get home from my job I do 20 rounds everyday and even let my kids play with it and it keeps me entertained and I just can't wait and I'm on 2,684,914 right now currently I love it so much"
304,I played this game in my friends phone and i really like it
305,Fabulous fun Always the best Love the difficult levels Getting better and better each time I play Love it
306,Love this game!
307,It's a perfect game to play but you must think very well before you doing de sets. Not all the levels are easy. Some are difficult and otters are nightmare difficult. But most of the time all are possible to complete. I cannot stop playing this game. It's really marbles.
308,Good
309,Love
310,Love the game
311,Awesome
312,Very nice and addictive game
313,Fun
314,Great
315,Great game
316,Excellent game. I love playing candy crush. Great fun for any ages. The game that keeps going on and on. No adverts unless you choose to use them. Just love this game. So entertaining. Play for hours and never get bored. I've got all the family playing candy crush now and they love it also. Give it a try and enjoy
317,Good and it's enjoyable
318,Having fun
319,،،👍👍♥️
320,Very addictive
321,Bril!
322,I really love this game so far and also easy to play... I love it!
323,Love unwinding the days stress away with this game. Highly addictive
324,Candy crush saga very good business trick ms dhoni playing ur game in aeroplane this is very well trick
325,Fun
326,This game is amazing 😍😍
327,To find a jewel I know where I must go and when my husband gets home just look me up and let the show begin happy 4th of July and anniversary a day early love u my king my heart here is to 6 years I love you
328,Good
329,Great
330,Very amazing
331,I enjoy this game ooo
332,Candy crush saga officially SUCKS now. The amount of in game purchases that they THROW at you during game play is annoyingly ridiculous. You can't use your power ups the way you want to because they use them for you and I swear I've caught the game cheating a time or two. If you haven't downloaded candy crush saga I would strongly advise against doin so at this particular point in time.
333,Nice
334,Always favorite
335,Bohot accha game hai mera 4 year hogiya
336,Lots O Fun.
337,Good game
338,Very nice love
339,Playing for fun and chill
340,Nice
341,Cool games
342,The worst game on Google play. In fact it's the worst game out of all the games on earth. Don't bother starting if you haven't already started. A complete waste of everyone's time. And I give it 0 stars. You have to change it back to the original music and not have 20 maximum lives. The worst thing you guys did with this game. I despise this game and would not recommend it to anyone if they should start playing. I'd would say they are wasting their time
343,Love to play this game
344,I love you my games ❣️❣️❣️ I am happy 😄
345,It is an awesome game. It is so relaxing at times!
346,"I have having some sort of weird thing going on with my game. Not sure if its update related, seems like game isnt syncing right. Not sure what happened. No update available."
347,Fabulous fantastic mind blowing can't stop playing
348,Very good
349,I love this game
350,Fun and addictive!
351,I don't even know how to play the game even though I progress. I ask friends they say .. still I don't get it. The game is cheating to make you belive you did it. But it is not you..
352,Excellent fun!
353,FUN
354,Love this game
355,I love candy crush game
356,Good 👍
357,Nice
358,It's amazing 👏 I love this game...
359,Fun Fun
360,Nice
361,It's very nice game I like it so much
362,I HATE SWEDEN I LOVE YOU ISLAM
363,Nice
364,Love this game!!!
365,nice
366,Very fun
367,Thoroughly challenging and enjoyable the further you go. Needs a bit of thought and strategy. Good luck👍. Enjoy☺️
368,Fun
369,It is nice game
370,Nice
371,I love candy crush very much it is the best game ever too and I will play it forever
372,Nice
373,Wow... जबरदस्त 🎮
374,I like it ❤❤❤❤❤
375,Nice game. It's get relax to mind.
376,Good
377,Amazing
378,This app is very super
379,Nice
380,Good game
381,It is super fun and easy
382,Addicted
383,Really good game
384,Nice
385,Owsome game
386,gd Apps
