,content
170,This is the best app ever...I have written all my secrets but... One thing is that there are so many ads if I off the data but there is nothing chanaged ads r coming again and again plz fix it but very amazing app💫✨
171,Cool
172,"I like this app. It has neat themes and gives me a place to write down my experiences. My only complaint is the "" pro mode"" which it wants you to pay money for."
173,Good for me
174,Wow
175,Good
176,Nice i writemy feeling
177,Love it. Easy to use
178,"Simple, attractive, easy to use. Good apps"
179,Just started. Free trial period should be 1 month
180,I like my diary
181,Good
182,Really 🔥 🦋❤️
183,My diary is great for everything
184,I been using it for a year so far so good
185,It the best
186,Bc u are coollll😎😎😎😎
187,It's helps me express myself without having to talk
188,Very brilliant 👍
189,Best
190,"I have a question. My old diary has been deleted in another phone, and on the new phone can I somehow find those records that have been deleted? I log in via google account, but still haven't appeared."
191,It is very good and safe to keep your information I would recommend it to others
192,"I really love writing diary's., love this game for letting me use my imagination"
193,Blah
194,This is a good app for Diary writing
195,Lovely
196,This app is so good
197,Fun
198,Easy to use and no long sign up process
199,I love this app so much
200,Ufufigigogohihkgihihohohkhkgkyigi hhkgmgbhhuhhhhggggffffttftrrrrrttttgguhuuuu are bal Ami I love 😘 to the house 🏠 to the way 😄 to the way 😄 to be asbi nh 🙃🙂 Ami r your house uy
201,It is good
202,I love this app very much because it has voice and type
203,Good
204,Great App
205,👍🏻
206,It is a great app
207,"The app is cool ,🔥🔥🔥🤩 it has what you want at the right time, but the problem is it works with Data if , it doesn't , then. ,I. Was crazy to think that so I give it three star and by the way my name is thatego 😘🤩😽🌟😘🤩😽🔥🔥🔥"
208,Love it
209,"I see no ads and even without the vip, its so great! I rate it five but i wish that you would also add some new free features! Its perfect!"
210,The worst app ever . See you can't do any thing except writing . You're thinking 🤔 of that this only we need to do in diary but in this it works as same as whatsapp . You can't even take more emoji . It's pro . In it while writing or not writing ads will make you annoy and you'll definitely be deleting the app. Now it's your choice to download or not . Thanks 😊
211,It was perfect now I can talk to my diary without worrying about hide my diary
212,Amazing
213,Ideal online diary
214,The diary is a great way to make little notes.
215,Works pretty well and it's easy to transition from one phone to another. I've been using this product for a year or so and it's been very helpful.
216,Nice app it is very easy😎 can't believe this app help ful me
217,This is amazing 😍😍😍😍
218,Good
219,جامد اويي بفضفض لي😂😂
220,This app is awesome I definitely recommend installing it! 5 STARS 🌟 🤩 ✨
221,Very cute and adorable 🥰
222,This is an amazing app I love how I can just talk to someone will not someone but put my emotions and feelings into something that I can look back at
223,Great app
224,Let get jour anger out
225,Really nice app.... Frrr that's all I can say....
226,It's nice 👍
227,Perfect personal dairy
228,I love this.
229,It is good app for me
230,I love this app it's cool
231,I Love It
