,content
109,monthly basis par charge kariye not 6 month or yearly monthly 99 ka shi rahega subscriber bhi bahut badega
110,App not working please remove bug as soon as possible
111,godd
112,"Application is not working, not opening"
113,"Facing some app issue , app is not getting loaded and not able to operate or view anything from app. As far as portfolio performance is concerned i am very much satisfied with their stock recommendation"
114,"Update: frequently app is not working, not able to login."
115,Customer care support is very poor Avoid to buy subscription Once you buy subscription they will not to pick your phone 🤳 and not responded
116,App is not working from last 2 days. Customer care number always busy. Disappointed.
117,App is not launching. Otherwise rest of the services are great
118,Stuck on the screen after entering the otp.
119,App is Not Working
120,Bahut hi ghatiya app hai.. Rebalance kabhi bhi nahi hota... Har time error aata hai... Support bhi faltu hai.... Aur ab ye motilal oswal ke investor app me bhi nahi dikhata... Motilal oswal bahut hi ghatiya app hai.. Annual maintenance charges to ye every month le leta hai... Overall worst experience... Mai isko 1 bhi rating nahi dena chahta but sabse kam wahi de sakte hai
121,Ni customer care number to call Sorry to inform no call has been received till date
122,good
123,Don't waste your money Worst app
124,good
125,It is one of the worst app. There is no help. It is wastage of money and time. They just take money and show you portfolio of 15-16 stocks. They just give name. They never tell you entry price of target. They even don't provide contact details or link to leave a message. Please never follow this.
126,Expected return of investment I am getting. I have invested in both flagship portfolio and multiplier portfolio one time and till now in profit
127,"जैसे ही आप पेमेंट करेंगे उसके बाद कोई भी हेल्प नहीं मिलेगी,ये कंपनी बड़े बड़े सपने दिखती है और आपको टीवी पर आई न्यूज में से या इधर उधर से कुछ भी लिखेगे, आपको कोई हेल्प नहीं मिलेगी।"
128,"Whorst app . No support,no customer service, and rebalance issue"
129,Customer service is a total flop. If you write a mail you get the reply problem is solved. If you give referral code it says failed to apply. Who is the authority to whom it should be addressed.
130,भाषा बदलने वाला में चेंज ही नहीं होता है
131,good
132,The application has so many fake AI written 5 start reviews. It's so noticeable 😂 i would upload photos i would have gotten the option. The developer clearly buys reviews
133,"Updated rating based on response. Please read review before responding. //// Just unable to get in touch with customer care. No phone number to reach, no response / acknowledgement on whatsapp. Tool should give me option to customize my orders for quantities."
134,"Login with otp everytime is irritating. Give options of password, mpin, otp to customers."
135,One of the worst experience i ever had was opening account in this mosl .Never ever try this app /account.They never helped nor they guided . Calls provided were extremely bad. They even dont know where market is heading .My opinion is they misguide only and loot retailers money always. Just beware and stay safe .
136,bahut hi gatiya app hai
137,Bakvas app
138,Absolutely no gain from this app. They just mention which stocks are good to invest. Even u can google and everyone knows those stocks. Once subscription started u will get call from call center but use. Today is my second day after subscription my personal advisor avoiding my calls.
139,Just started today
140,worthless app
141,Avg user interface. Pl give option of login with ID & Password like all other apps. Your app only has one option i.e. OTP. Give all options to user like password or mpin or OTP. It will be helpful.
142,Customer care not interested to guide
143,good analysis
144,This app is run by motilaloswal and they are biggest cheaters never invest in motilaloswal they only make money by their 3 times hidden charges there research is useless and advisors are fool they need only their brokage and never bother for your loss no one will attend your problem after you subscribe there charges are 3 time higher then any other brokers
145,kuchh samajh me nahi aa raha hai
146,good
147,Nice details information.
148,Guru Malhotra thank you so much dear friends please 🙏🥺❤️🤙🫵🤳❤️
149,"Nothing exciting Very ordinary scripts in the portfolio, has hardly fetched any returns in the past year, every script has gained at least 50% after 2020. It's unfair to consider the market movement during 2021/22 for making a claim of 35% of returns. What was the analysis to remove performing script like mindacorp, that has fetched 35% since it's removal from your portfolio."
150,After updating app is not opening.
151,99 bala subscribe month bala nehni ho raha hai direct 1180 ho ja raha hai
152,Dont install this app...more then 10 calls every day they do
153,Its good.
154,I m not happy with this app. I am a member of flagship plan. It do not provide any information at what price a stock to be purchased and its potential sell price. I want my money back...
155,best app
156,Very bad experience of customer support. I have purchased this app and I have lot of questions they have MSG through WhatsApp only. Not answering through voice
157,bekar h bhot waist money
158,They want money
159,ok
160,call to me when any review
161,"Their customer executive will message you 4-5 times a day to make us purchase the subscription. Once you have purchased ot, your messages will be hardly noticed. Worst customer support. I am repenting on buying this useless subscription."
162,excellent
163,it is a good platform which makes portfolio investing so simple.
164,Nice user experience
165,Very bad app most of lose of money. Manny chage off Rebalancing not pay free 1188 wast of money.
166,hindi hona chaye vebinar
167,brm.
168,Good flatform for beginners.
169,❤️
170,bahut badhiya hai dost Main bahut din se use kar Raha hu
171,nice
172,"टेंशन फ्री बहुत ही अच्छा इन्वेस्टमेंट के लिए प्लेटफार्म है . लंबे समय के लिए, बहुत-बहुत धन्यवाद तेजी मंदी"
173,Good
174,"Available in English and Hindhi only. Not available in other regional languages like Marathi, Kannada, Tamil, Telugu, Malayalam etc"
175,Useless App doesnt not support anything ! Time & money waste App
176,They are giving lower returns than FD.
177,Although am unable to update/re-install this app again on ky phone. But otherwise the voverall experience was good.
178,good
179,Good
180,Gold digger app stay away from it .No one is there to lesson you after the get there money
181,Learn hindi
182,This is uncomplete app..........
183,in my android mobile .. this app is not opening
184,great
185,"After taking subscription, i am not able to complete kyc.when i do kyc it always getting failed .what to do plz suggest."
186,Good
187,"Uninstalled this app after reading the one sided company terms conditions. These pple are not confident that the subscribers should rely on their tips, so they have made a lengthy disclaimer list to keep themselves safe from being prosecuted. Motilal Oswal advisory makes the investors lose their money by giving them lossmaking trade advices by incompetent teleadvisors. This app which is by motilal people will also give the same experience. Better to stay away from these false advisory companies."
188,ereerr
189,They just book losses thats all
190,"Don't know what went wrong, I'm unable to open this app, It is showing only uninstall button, Please take care of it."
191,Third class its fraud app
192,"App not working ,i am not able to retrieve my account. No otp"
193,Mai to fas gayaa pure saal subscription lekar 3500 mere doob gaye aur koi mat fasna
194,super
195,Good
196,Customer care doesn't exist. Didn't get support despite repeated attempts over a week and later understood it was tactics as they were not in a position to provide satisfactory answers. Contact number is already available with them however no interest to reply back. I have attempted more than three times and have even received your calls which gets disconnected immediately. Mailing phone no which is already available is not going to help. Any time is suitable to contact me if u can slove issue.
197,Not able to open it my app is Missing. What is happening please rectify.
198,Bakwas app. From last three days I am trying for OTP. Now I uninstalled this app from my Mobile
199,Customer care is very slow nobody will attend your call will keep on waiting always
200,worst connectivity with trading account.
201,Not open app please improve
202,After last update App not get opening for portfolio rebalanceing...
203,darun
204,very good
205,best in 8investment
206,It's asking to uninstall
207,Good
208,Very Stable Portfolio with regular rebalance for retail investors.
209,Best
210,Good appo for investment
211,its very easy to envest
212,After updating its very difficult to open
213,Teji mandi is a good aplication for small case investment
214,"What happened , I cannot open app , I have paid money, is this kind of fraud or something????"
215,Lovely
216,Why isn't the app working now? Not even getting open option in Google play???
217,Good
218,Good app Need graphical chart of investment for all sector on User interface
219,Nice application
220,Very Good 👍
221,After installing update now I am unable to open the app... There is no open option on Play Store either. Only one option showing is Uninstall.
222,Good
223,sir app addni shear k bare me kiaa app
224,All bakwas
225,great
226,My app is not working all money gone
227,App not opening
228,Trading experience of four years
229,Useless app and service. You can easily earn more than this app in any other savings scheme. I am a subscriber of their multiplier and flagship portfolio from last six months and yet to get 1% return.
230,App not opening infact there is no option to open the app in playstore now. Only uninstall option is showing. Please help me
231,this is the best app for investment
232,good
233,"Hello team, had a great experience"
234,It give daily Nifty and bank Nifty call
235,Refferal code nahi he mere pass
236,Worst app not able to use app after making payment. Screen is stuch on risk profile page each time I open. It gets stuck on otp page which is not received.
237,Every time in market crash time this app is not opening. I was thinking that in market crash situation i can invest more but app is not opening
238,Very bad apps Mene kuch din pehle subscribe Kiya hai WhatsApp no.update Kya to dobara subscribe karne kah raha hai mera rs.1200/ barbaad ho gya
239,Nice aap
240,nice
241,very good
242,Ramdev sir guidance is best
243,No response after paid subscription or no reply bon mail.
244,SIP or LUMPSUM.... kya krna sahi rhega
245,charges should be on monthly basis or optional.
246,Faltu
247,Frustrating to get continuous calls even after uninstalling the app....
248,My portfolio is down by 8%. I opened in december 2022. I have taken there multiplier portfolio which promises 48% return.
249,too early
250,Don't subscribe very bad experience.
251,Faltu app
252,Hi Hi
253,5star
254,"This is not helpful apps for stock market. I subscribe this but not give perfect data. I paid around Rs 1100 but totally 6 to 7 stocks flash which is everyone know this ITC, SBI etc."
255,Customer care is very poor. Dont invest 1000 rs. It is not worthy. Its very basic.
256,now i getting 5 rating if this portfolio are worst rating will be decrease
257,"Do not waste your money in this type of apps they never call you back after taking there services also they have very bad research team they bought barbeque, iex and some more such companies which is giving me negative 25 % returns and they call me for the subscription renewal directly"
258,Good 👍
259,बहुत ही घटिया सर्विस एक बार जॉइन करवा कर रेस्पोंस नही देते है.
260,very slow with updates
261,great
262,I'm not receiving OTP why
263,nice
264,superb stocks
265,Negative return. No past performance chart. Waste of money.
266,"TejiMandi offers excellent customer support through call and WhatsApp, knowledgeable staff, user-friendly interface, and a trustworthy platform."
267,nice
268,Totally rubbish advisory
269,The issue regarding SIP has been resolved by after a follow up.
270,"Worst investment, you will get more with investment in MF or gold or silver."
271,"very cumbersome process. try to make it more easier, atleast who r not well educated"
272,Super ❤️
273,Supreb 🙏💐🌹
274,"I have a complaint with you that your customer support officer called me only when I wanted to get the subscription, but now I want to invest. Then no one is talking to me from your side. It's been so many days that no call has been received from your side asking why you didn't invest. Are you still facing any problem?"
275,Looking
276,Payment ke pahele bahot ashi ashi bat kari but payment ke bad no replay and no gaidens asha c banaya
277,Superb investing app. This is by far the best stock investing app.This is by far the best stock investing app.It is a terrific app for young investors just starting out on the digital marketplace. This should only be used by people who are looking for long-term investments.The customer care responds quickly to any types of queries.They do not charge any charges or additional fees if you add to your portfolio.
278,gh
279,Not good and user friendly
280,Pagal banate hai
281,nice
282,Very good service
283,Great app
