,content
0,Not good
1,Very bad
2,Nice app you try it now Kashmira
3,Good
4,Like
5,Runa. Devi
6,In this app we cannot connect pc to Mobile using hotspot. There should have a hot spot option to connect to the pc. There should have a window base version of this app to use this app on pc. We must have to install emulator or other android base apps to use this app on pc.
7,Good app
8,Wants acces to my contacts without explanation and won't work without
9,Worst
